,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:03:26:301 AM,39321.078125,-49608.609375,4854.139648,0.0,-9.0,4.0,167.587006,976.55603,-155.641006,-12.593,241.0,-103.0,20.0,-0.03,1.0,0.0,true
May 22 2024 10:03:26:404 AM,39422.777344,-49625.359375,4853.060059,1.0,-9.0,4.0,168.674011,1001.555054,-167.336014,-9.593,250.0,-117.0,30.0,-0.03,1.0,0.0,true
May 22 2024 10:03:26:505 AM,39525.5,-49643.039062,4852.429688,1.0,-10.0,4.0,169.303009,1025.26001,-179.309006,-4.292,237.0,-120.0,53.0,-0.03,1.0,0.0,true
May 22 2024 10:03:26:608 AM,39633.128906,-49662.398438,4852.25,1.0,-10.0,4.0,169.479004,1048.729004,-191.946014,0.087,235.0,-126.0,44.0,-0.03,1.0,0.0,true
May 22 2024 10:03:26:706 AM,39738.988281,-49682.238281,4852.659668,2.0,-11.0,4.0,169.883011,1070.410034,-204.750015,6.118001,217.0,-128.0,60.0,-0.03,1.0,0.0,true
May 22 2024 10:03:26:807 AM,39847.519531,-49703.417969,4853.639648,2.0,-11.0,3.0,170.87001,1091.393066,-219.290009,11.371,210.0,-145.0,53.0,-0.03,1.0,0.0,true
May 22 2024 10:03:26:907 AM,39958.417969,-49725.457031,4855.02002,2.0,-12.0,3.0,172.246002,1111.290039,-221.471008,15.966001,199.0,-22.0,46.0,0.97,0.0,0.0,true
May 22 2024 10:03:27:3 AM,40066.289062,-49742.128906,4856.47998,2.0,-10.0,2.0,173.703003,1114.958008,-175.623001,16.124001,37.0,458.0,2.0,0.97,0.0,0.0,true
May 22 2024 10:03:27:102 AM,40176.089844,-49750.050781,4857.830078,1.0,-5.0,0.0,175.060013,1103.226074,-79.911003,13.709001,-117.0,957.0,-24.0,0.97,0.0,0.0,true
May 22 2024 10:03:27:202 AM,40280.480469,-49746.367188,4859.919922,1.0,4.0,-2.0,177.151001,1063.971069,55.189003,30.585001,-393.0,1351.0,169.0,0.97,0.0,0.0,true
May 22 2024 10:03:27:305 AM,40387.410156,-49727.46875,4862.899902,1.0,14.0,-3.0,180.131012,995.792053,210.736008,22.931002,-682.0,1555.0,-77.0,0.97,0.0,0.0,true
May 22 2024 10:03:27:402 AM,40477.128906,-49697.199219,4865.179688,1.0,23.0,-4.0,182.409012,905.993042,346.04303,19.159,-898.0,1353.0,-38.0,0.97,0.0,0.0,true
May 22 2024 10:03:27:502 AM,40559.117188,-49654.410156,4866.439941,0.0,32.0,-5.0,183.666016,800.150024,449.017029,-3.033,-1058.0,1030.0,-222.0,-0.03,0.0,0.0,true
May 22 2024 10:03:27:608 AM,40636.257812,-49603.199219,4866.219727,0.0,40.0,-4.0,183.883011,703.985046,505.535034,-11.228001,-962.0,565.0,-82.0,-0.03,0.0,0.0,true
May 22 2024 10:03:27:701 AM,40698.199219,-49556.519531,4865.120117,0.0,42.0,-4.0,184.981003,636.960022,519.694031,-13.296,-670.0,142.0,-21.0,-0.03,0.0,0.0,true
May 22 2024 10:03:27:802 AM,40759.96875,-49505.058594,4863.679688,-1.0,42.0,-3.0,186.42601,580.638,516.505005,-15.175001,-563.0,-32.0,-19.0,-0.03,0.0,0.0,true
May 22 2024 10:03:27:902 AM,40817.738281,-49457.757812,4862.199707,-1.0,41.0,-1.0,187.900009,554.628052,475.417023,-11.595,-260.0,-411.0,36.0,-1.03,0.0,0.0,true
May 22 2024 10:03:28:5 AM,40876.769531,-49415.980469,4861.25,-1.0,37.0,1.0,188.853012,544.703003,402.915009,-6.146,-99.0,-725.0,54.0,-1.03,0.0,0.0,true
May 22 2024 10:03:28:105 AM,40932.378906,-49382.417969,4861.239746,-1.0,33.0,3.0,188.869003,534.949036,331.110016,1.157,-98.0,-718.0,73.0,-1.03,0.0,0.0,true
May 22 2024 10:03:28:208 AM,40987.609375,-49354.378906,4861.75,-1.0,29.0,3.0,189.38501,522.645996,262.944,5.252,-123.0,-682.0,41.0,-0.03,1.0,0.0,true
May 22 2024 10:03:28:304 AM,41037.117188,-49330.910156,4862.109863,-1.0,27.0,3.0,189.743011,505.21701,241.807007,2.104,-174.0,-211.0,-31.0,-0.03,1.0,0.0,true
May 22 2024 10:03:28:407 AM,41088.019531,-49305.449219,4862.679688,0.0,26.0,3.0,190.313004,493.517029,235.151016,3.072,-117.0,-67.0,10.0,-0.03,1.0,0.0,true
May 22 2024 10:03:28:503 AM,41136.148438,-49281.910156,4863.350098,0.0,26.0,2.0,190.984009,496.679016,234.651016,5.909,32.0,-5.0,28.0,-0.03,1.0,0.0,true
May 22 2024 10:03:28:607 AM,41189.1875,-49256.027344,4864.489746,1.0,26.0,2.0,192.124008,503.235016,246.42601,13.007001,66.0,118.0,71.0,0.97,1.0,0.0,true
May 22 2024 10:03:28:708 AM,41240.460938,-49227.910156,4865.929688,2.0,27.0,1.0,193.563004,507.924011,268.64502,12.555,47.0,222.0,-5.0,-0.03,1.0,0.0,true
May 22 2024 10:03:28:807 AM,41293.078125,-49200.4375,4867.139648,2.0,28.0,1.0,194.776016,528.004028,272.412018,11.538,201.0,38.0,-10.0,-1.03,1.0,0.0,true
