,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 10:37:11:410 AM,39827.847656,-43020.0,4981.629883,-28.0,-152.0,-117.0,422.051025,-373.423004,236.444016,56.332005,3280.0,1087.0,2847.0,1.02,1.0,0.0,false
May 21 2024 10:37:11:513 AM,39786.898438,-42989.488281,4995.839844,-28.0,-146.0,-129.0,436.263031,-373.035004,236.203018,-44.538002,4.0,-2.0,-1009.0,1.02,1.0,0.0,false
May 21 2024 10:37:11:613 AM,39746.050781,-42957.328125,4999.310059,-26.0,-140.0,-141.0,439.734009,-357.234009,236.593018,-127.033005,158.0,4.0,-825.0,1.02,1.0,0.0,false
May 21 2024 10:37:11:708 AM,39706.378906,-42922.75,4994.779785,-24.0,-134.0,-154.0,444.264008,-351.101013,236.531006,-216.110016,61.0,-1.0,-891.0,1.02,1.0,0.0,false
May 21 2024 10:37:11:812 AM,39662.210938,-42882.027344,4977.429688,-19.0,-127.0,-169.0,461.614014,-344.582031,236.377014,-314.09903,65.0,-2.0,-980.0,1.02,1.0,0.0,false
May 21 2024 10:37:11:916 AM,39638.9375,-42837.6875,4959.0,-8.0,-119.0,-176.0,480.045013,-279.068024,187.073013,-159.19101,655.0,-493.0,1549.0,1.02,1.0,0.0,false
May 21 2024 10:37:12:9 AM,39624.21875,-42804.988281,4965.549805,0.0,-115.0,175.0,486.59201,-11.483001,84.150002,171.589005,2676.0,-1029.0,3308.0,1.02,1.0,0.0,false
May 21 2024 10:37:12:109 AM,39619.25,-42789.917969,4977.489746,3.0,-114.0,171.0,498.534027,-7.974,71.764,95.990005,35.0,-124.0,-756.0,1.02,1.0,0.0,false
May 21 2024 10:37:12:209 AM,39617.1875,-42780.789062,4983.319824,4.0,-114.0,169.0,504.363037,-1.265,52.588001,32.869003,67.0,-192.0,-631.0,1.02,1.0,0.0,false
May 21 2024 10:37:12:309 AM,39617.46875,-42777.5,4983.620117,4.0,-114.0,169.0,504.669037,8.147,13.000001,-19.530001,94.0,-396.0,-524.0,0.02,0.0,0.0,false
May 21 2024 10:37:12:409 AM,39619.96875,-42780.847656,4978.779785,3.0,-114.0,171.0,509.515015,8.681001,-36.941002,-73.049004,5.0,-499.0,-535.0,0.02,0.0,0.0,false
