,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 10:59:07:486 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,108.895004,0.023,-0.026,0.031,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:07:591 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,108.895004,0.013,-0.044,-0.115,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:07:681 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,108.901009,0.018,-0.028,0.022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:07:801 AM,37602.550781,-49438.589844,4912.159668,-3.0,0.0,2.0,108.915009,0.022,-0.037,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:07:898 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,108.928001,0.024,-0.001,0.109,0.0,0.0,1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:07:991 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,108.937004,0.033,0.007,0.277,0.0,0.0,2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:08:82 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,108.938004,-0.009,-0.055,-0.578,0.0,-1.0,-9.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:08:193 AM,37602.550781,-49438.589844,4912.159668,-3.0,0.0,2.0,108.942009,0.036,0.04,0.477,0.0,1.0,11.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:08:279 AM,37602.550781,-49438.589844,4912.149902,-3.0,0.0,2.0,108.950005,-0.005,-0.064,-0.478,0.0,-1.0,-10.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:08:392 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,108.964005,0.022,-0.012,0.15,0.0,1.0,6.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:08:494 AM,37602.550781,-49438.589844,4912.159668,-3.0,0.0,2.0,108.972008,0.013,-0.037,-0.019,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:08:600 AM,37602.550781,-49438.589844,4912.159668,-3.0,0.0,2.0,108.976006,0.018,-0.029,-0.088,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:08:681 AM,37602.550781,-49438.589844,4912.159668,-3.0,0.0,2.0,108.977005,0.011,-0.011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:08:796 AM,37602.539062,-49438.589844,4912.149902,-3.0,0.0,2.0,108.987007,0.022,-0.03,0.107,0.0,0.0,1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:08:900 AM,37602.539062,-49438.578125,4912.149902,-3.0,0.0,2.0,108.990005,0.01,-0.036,-0.09,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:08:994 AM,37602.550781,-49438.589844,4912.159668,-3.0,0.0,2.0,108.997002,0.011,-0.015,-0.004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:09:82 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,109.006004,0.02,-0.005,0.158,0.0,0.0,2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:09:184 AM,37602.539062,-49438.589844,4912.159668,-3.0,0.0,2.0,109.011002,-0.004,-0.082,-0.417,0.0,-1.0,-6.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:09:282 AM,37602.539062,-49438.578125,4912.149902,-3.0,0.0,2.0,109.027008,0.054,0.012,0.645,1.0,1.0,11.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:09:390 AM,37602.539062,-49438.578125,4912.129883,-3.0,0.0,2.0,109.037003,0.0,0.0,0.0,-1.0,0.0,-6.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:09:485 AM,37602.550781,-49438.589844,4912.149902,-3.0,0.0,2.0,109.050003,0.061,0.045,0.751,1.0,0.0,8.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:09:581 AM,37602.539062,-49438.589844,4912.139648,-3.0,0.0,2.0,109.061005,0.018,-0.009,0.155,0.0,-1.0,-6.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:09:684 AM,37602.539062,-49438.589844,4912.139648,-3.0,0.0,2.0,109.067009,0.029,-0.01,0.081,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:09:790 AM,37602.539062,-49438.589844,4912.149902,-3.0,0.0,2.0,109.072006,0.007,-0.024,-0.037,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:09:893 AM,37602.550781,-49438.597656,4912.169922,-3.0,0.0,2.0,109.089005,0.032,0.02,0.41,0.0,0.0,4.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:09:991 AM,37602.550781,-49438.597656,4912.179688,-3.0,0.0,2.0,109.105003,0.015,-0.007,0.1,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:10:87 AM,37602.550781,-49438.597656,4912.179688,-3.0,0.0,2.0,109.110008,0.01,-0.069,-0.034,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:10:192 AM,37602.550781,-49438.597656,4912.169922,-3.0,0.0,2.0,109.111008,0.018,-0.007,0.129,0.0,1.0,2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:10:281 AM,37602.550781,-49438.589844,4912.159668,-3.0,0.0,2.0,109.127007,0.008,-0.063,-0.299,0.0,-1.0,-4.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:59:10:404 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,109.135002,-0.007,-0.076,-0.481,0.0,0.0,-2.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:59:10:479 AM,37602.550781,-49438.589844,4912.179688,-3.0,0.0,2.0,109.146004,0.02,-0.026,0.06,0.0,0.0,5.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:59:10:583 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,109.154007,0.026,-0.004,0.116,0.0,0.0,1.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:59:10:685 AM,37602.539062,-49438.589844,4912.159668,-3.0,0.0,2.0,109.165009,0.017,-0.014,0.07,0.0,0.0,0.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:59:10:784 AM,37602.539062,-49438.589844,4912.149902,-3.0,0.0,2.0,109.177002,-0.004,-0.042,-0.485,0.0,0.0,-6.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:59:10:883 AM,37602.539062,-49438.578125,4912.129883,-3.0,0.0,2.0,109.191002,-0.002,-0.049,-0.36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:10:987 AM,37602.539062,-49438.589844,4912.149902,-3.0,0.0,2.0,109.206009,0.045,0.044,0.511,0.0,1.0,9.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:11:87 AM,37602.539062,-49438.589844,4912.159668,-3.0,0.0,2.0,109.214005,0.016,-0.026,0.03,0.0,-1.0,-5.0,0.0,0.27,0.0,0.0,true
Jun 4 2024 10:59:11:183 AM,37602.828125,-49438.609375,4912.129883,-3.0,0.0,2.0,109.237007,3.388,-0.117,-0.32,34.0,-1.0,-3.0,-0.01,0.73,0.0,0.0,true
Jun 4 2024 10:59:11:293 AM,37604.128906,-49438.667969,4912.060059,-3.0,0.0,2.0,109.312004,18.284,-0.544,-1.45,149.0,-4.0,-11.0,-0.04,0.98,0.0,0.0,true
Jun 4 2024 10:59:11:389 AM,37607.628906,-49438.777344,4911.939941,-3.0,0.0,2.0,109.434006,49.688004,-1.21,-2.608,314.0,-7.0,-12.0,-0.06,1.0,0.0,0.0,true
